titres,adresses,liens,categorie,type,lon,lat
Collège Jean de Verrazane,"5 Place Ferber, 69009 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-jean-de-verrazane,colleges-publics,enseignement,4.8045,45.7738
Collège Déborde,"72 rue Ney, 69006 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-deborde,colleges-prives,enseignement,4.8554,45.7666
Collège Fénelon,"1 rue Paul Michel Perret, 69006 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-fenelon,colleges-prives,enseignement,4.8507,45.7729
Collège Gabriel Rosset,"74 rue Challemel Lacour, 69007 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-gabriel-rosset,colleges-publics,enseignement,4.8402,45.7296
Collège Georges Clemenceau,"31 rue de L'Université, 69007 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-georges-clemenceau,colleges-publics,enseignement,4.8409,45.7504
Collège Henri Longchambon,"24 rue Stéphane Coignet, 69008 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-henri-longchambon,colleges-publics,enseignement,4.8737,45.727
Collège Jean Charcot,"13 rue Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-jean-charcot,colleges-publics,enseignement,4.8057,45.7532
Collège Jean Mermoz,"192 Boulevard Pinel, 69008 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-jean-mermoz,colleges-publics,enseignement,4.8885,45.7337
Collège Jean Monnet,"18 rue Seguin / 5 impasse Catelin, 69002 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-jean-monnet,colleges-publics,enseignement,4.8225,45.7458
Collège Jean Moulin,"1 Place des Minimes, 69005 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-jean-moulin,colleges-publics,enseignement,4.8205,45.7579
Collège Jean Perrin,"14 rue Maréchal de Lattre de Tassigny, 69009 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-jean-perrin,colleges-publics,enseignement,4.8172,45.7947
Collège La Favorite,"62 rue de la Favorite, 69005 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-la-favorite,colleges-prives,enseignement,4.8057,45.7566
Collège Lacassagne,"93 rue Antoine Charial, 69003 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-lacassagne,colleges-publics,enseignement,4.8703,45.7578
Collège Les Battières,"56 avenue Général Eisenhower, 69005 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-les-battieres,colleges-publics,enseignement,4.7808,45.7515
Collège Saint Denis,"7 rue Hénon, 69004 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-saint-denis,colleges-prives,enseignement,4.8315,45.7794
